id,name,name_ja,type,category,power,accuracy,pp
554,ice-burn,コールドフレア,ice,special,140,90,5
555,snarl,バークアウト,dark,special,55,95,15
556,icicle-crash,つららおとし,ice,physical,85,90,10
557,v-create,Ｖジェネレート,fire,physical,180,95,5
558,fusion-flare,クロスフレイム,fire,special,100,100,5
559,fusion-bolt,クロスサンダー,electric,physical,100,100,5
560,flying-press,フライングプレス,fighting,physical,100,95,10
561,mat-block,たたみがえし,fighting,status,,,10
562,belch,ゲップ,poison,special,120,90,10
563,rototiller,たがやす,ground,status,,,10
564,sticky-web,ねばねばネット,bug,status,,,20
565,fell-stinger,とどめばり,bug,physical,50,100,25
566,phantom-force,ゴーストダイブ,ghost,physical,90,100,10
567,trick-or-treat,ハロウィン,ghost,status,,100,20
568,noble-roar,おたけび,normal,status,,100,30
569,ion-deluge,プラズマシャワー,electric,status,,,25
570,parabolic-charge,パラボラチャージ,electric,special,65,100,20
571,forests-curse,もりののろい,grass,status,,100,20
572,petal-blizzard,はなふぶき,grass,physical,90,100,15
573,freeze-dry,フリーズドライ,ice,special,70,100,20
574,disarming-voice,チャームボイス,fairy,special,40,,15
575,parting-shot,すてゼリフ,dark,status,,100,20
576,topsy-turvy,ひっくりかえす,dark,status,,,20
577,draining-kiss,ドレインキッス,fairy,special,50,100,10
578,crafty-shield,トリックガード,fairy,status,,,10
579,flower-shield,フラワーガード,fairy,status,,,10
580,grassy-terrain,グラスフィールド,grass,status,,,10
581,misty-terrain,ミストフィールド,fairy,status,,,10
582,electrify,そうでん,electric,status,,,20
583,play-rough,じゃれつく,fairy,physical,90,90,10
584,fairy-wind,ようせいのかぜ,fairy,special,40,100,30
585,moonblast,ムーンフォース,fairy,special,95,100,15
586,boomburst,ばくおんぱ,normal,special,140,100,10
587,fairy-lock,フェアリーロック,fairy,status,,,10
588,kings-shield,キングシールド,steel,status,,,10
589,play-nice,なかよくする,normal,status,,,20
590,confide,ないしょばなし,normal,status,,,20
591,diamond-storm,ダイヤストーム,rock,physical,100,95,5
592,steam-eruption,スチームバースト,water,special,110,95,5
593,hyperspace-hole,いじげんホール,psychic,special,80,,5
594,water-shuriken,みずしゅりけん,water,special,15,100,20
595,mystical-fire,マジカルフレイム,fire,special,75,100,10
596,spiky-shield,ニードルガード,grass,status,,,10
597,aromatic-mist,アロマミスト,fairy,status,,,20
598,eerie-impulse,かいでんぱ,electric,status,,100,15
599,venom-drench,ベノムトラップ,poison,status,,100,20
600,powder,ふんじん,bug,status,,100,20
601,geomancy,ジオコントロール,fairy,status,,,10
602,magnetic-flux,じばそうさ,electric,status,,,20
603,happy-hour,ハッピータイム,normal,status,,,30
604,electric-terrain,エレキフィールド,electric,status,,,10
605,dazzling-gleam,マジカルシャイン,fairy,special,80,100,10
606,celebrate,おいわい,normal,status,,,40
607,hold-hands,てをつなぐ,normal,status,,,40
608,baby-doll-eyes,つぶらなひとみ,fairy,status,,100,30
609,nuzzle,ほっぺすりすり,electric,physical,20,100,20
610,hold-back,てかげん,normal,physical,40,100,40
611,infestation,まとわりつく,bug,special,20,100,20
612,power-up-punch,グロウパンチ,fighting,physical,40,100,20
613,oblivion-wing,デスウイング,flying,special,80,100,10
614,thousand-arrows,サウザンアロー,ground,physical,90,100,10
615,thousand-waves,サウザンウェーブ,ground,physical,90,100,10
616,lands-wrath,グランドフォース,ground,physical,90,100,10
617,light-of-ruin,はめつのひかり,fairy,special,140,90,5
618,origin-pulse,こんげんのはどう,water,special,110,85,10
619,precipice-blades,だんがいのつるぎ,ground,physical,120,85,10
620,dragon-ascent,ガリョウテンセイ,flying,physical,120,100,5
621,hyperspace-fury,いじげんラッシュ,dark,physical,100,,5
622,breakneck-blitz--physical,ウルトラダッシュアタック,normal,physical,,,1
623,breakneck-blitz--special,ウルトラダッシュアタック,normal,special,,,1
624,all-out-pummeling--physical,ぜんりょくむそうげきれつけん,fighting,physical,,,1
625,all-out-pummeling--special,ぜんりょくむそうげきれつけん,fighting,special,,,1
626,supersonic-skystrike--physical,ファイナルダイブクラッシュ,flying,physical,,,1
627,supersonic-skystrike--special,ファイナルダイブクラッシュ,flying,special,,,1
628,acid-downpour--physical,アシッドポイズンデリート,poison,physical,,,1
629,acid-downpour--special,アシッドポイズンデリート,poison,special,,,1
630,tectonic-rage--physical,ライジングランドオーバー,ground,physical,,,1
631,tectonic-rage--special,ライジングランドオーバー,ground,special,,,1
632,continental-crush--physical,ワールズエンドフォール,rock,physical,,,1
633,continental-crush--special,ワールズエンドフォール,rock,special,,,1
634,savage-spin-out--physical,ぜったいほしょくかいてんざん,bug,physical,,,1
635,savage-spin-out--special,ぜったいほしょくかいてんざん,bug,special,,,1
636,never-ending-nightmare--physical,むげんあんやへのいざない,ghost,physical,,,1
637,never-ending-nightmare--special,むげんあんやへのいざない,ghost,special,,,1
638,corkscrew-crash--physical,ちょうぜつらせんれんげき,steel,physical,,,1
639,corkscrew-crash--special,ちょうぜつらせんれんげき,steel,special,,,1
640,inferno-overdrive--physical,ダイナミックフルフレイム,fire,physical,,,1
641,inferno-overdrive--special,ダイナミックフルフレイム,fire,special,,,1
642,hydro-vortex--physical,スーパーアクアトルネード,water,physical,,,1
643,hydro-vortex--special,スーパーアクアトルネード,water,special,,,1
644,bloom-doom--physical,ブルームシャインエクストラ,grass,physical,,,1
645,bloom-doom--special,ブルームシャインエクストラ,grass,special,,,1
646,gigavolt-havoc--physical,スパーキングギガボルト,electric,physical,,,1
647,gigavolt-havoc--special,スパーキングギガボルト,electric,special,,,1
648,shattered-psyche--physical,マキシマムサイブレイカー,psychic,physical,,,1
649,shattered-psyche--special,マキシマムサイブレイカー,psychic,special,,,1
650,subzero-slammer--physical,レイジングジオフリーズ,ice,physical,,,1
651,subzero-slammer--special,レイジングジオフリーズ,ice,special,,,1
652,devastating-drake--physical,アルティメットドラゴンバーン,dragon,physical,,,1
653,devastating-drake--special,アルティメットドラゴンバーン,dragon,special,,,1
654,black-hole-eclipse--physical,ブラックホールイクリプス,dark,physical,,,1
655,black-hole-eclipse--special,ブラックホールイクリプス,dark,special,,,1
656,twinkle-tackle--physical,ラブリースターインパクト,fairy,physical,,,1
657,twinkle-tackle--special,ラブリースターインパクト,fairy,special,,,1
658,catastropika,ひっさつのピカチュート,electric,physical,210,,1
659,shore-up,すなあつめ,ground,status,,,5
660,first-impression,であいがしら,bug,physical,90,100,10
661,baneful-bunker,トーチカ,poison,status,,,10
662,spirit-shackle,かげぬい,ghost,physical,80,100,10
663,darkest-lariat,ＤＤラリアット,dark,physical,85,100,10
664,sparkling-aria,うたかたのアリア,water,special,90,100,10
665,ice-hammer,アイスハンマー,ice,physical,100,90,10
666,floral-healing,フラワーヒール,fairy,status,,,10
667,high-horsepower,１０まんばりき,ground,physical,95,95,10
668,strength-sap,ちからをすいとる,grass,status,,100,10
669,solar-blade,ソーラーブレード,grass,physical,125,100,10
670,leafage,このは,grass,physical,40,100,40
671,spotlight,スポットライト,normal,status,,,15
672,toxic-thread,どくのいと,poison,status,,100,20
673,laser-focus,とぎすます,normal,status,,,30
674,gear-up,アシストギア,steel,status,,,20
675,throat-chop,じごくづき,dark,physical,80,100,15
676,pollen-puff,かふんだんご,bug,special,90,100,15
677,anchor-shot,アンカーショット,steel,physical,80,100,20
678,psychic-terrain,サイコフィールド,psychic,status,,,10
679,lunge,とびかかる,bug,physical,80,100,15
680,fire-lash,ほのおのムチ,fire,physical,80,100,15
681,power-trip,つけあがる,dark,physical,20,100,10
682,burn-up,もえつきる,fire,special,130,100,5
683,speed-swap,スピードスワップ,psychic,status,,,10
684,smart-strike,スマートホーン,steel,physical,70,,10
685,purify,じょうか,poison,status,,,20
686,revelation-dance,めざめるダンス,normal,special,90,100,15
687,core-enforcer,コアパニッシャー,dragon,special,100,100,10
688,trop-kick,トロピカルキック,grass,physical,70,100,15
689,instruct,さいはい,psychic,status,,,15
690,beak-blast,くちばしキャノン,flying,physical,100,100,15
691,clanging-scales,スケイルノイズ,dragon,special,110,100,5
692,dragon-hammer,ドラゴンハンマー,dragon,physical,90,100,15
693,brutal-swing,ぶんまわす,dark,physical,60,100,20
694,aurora-veil,オーロラベール,ice,status,,,20
695,sinister-arrow-raid,シャドーアローズストライク,ghost,physical,180,,1
696,malicious-moonsault,ハイパーダーククラッシャー,dark,physical,180,,1
697,oceanic-operetta,わだつみのシンフォニア,water,special,195,,1
698,guardian-of-alola,ガーディアン・デ・アローラ,fairy,special,,,1
699,soul-stealing-7-star-strike,しちせいだっこんたい,ghost,physical,195,,1
700,stoked-sparksurfer,ライトニングサーフライド,electric,special,175,,1
701,pulverizing-pancake,ほんきをだす　こうげき,normal,physical,210,,1
702,extreme-evoboost,ナインエボルブースト,normal,status,,,1
703,genesis-supernova,オリジンズスーパーノヴァ,psychic,special,185,,1
704,shell-trap,トラップシェル,fire,special,150,100,5
705,fleur-cannon,フルールカノン,fairy,special,130,90,5
706,psychic-fangs,サイコファング,psychic,physical,85,100,10
707,stomping-tantrum,じだんだ,ground,physical,75,100,10
708,shadow-bone,シャドーボーン,ghost,physical,85,100,10
709,accelerock,アクセルロック,rock,physical,40,100,20
710,liquidation,アクアブレイク,water,physical,85,100,10
711,prismatic-laser,プリズムレーザー,psychic,special,160,100,10
712,spectral-thief,シャドースチール,ghost,physical,90,100,10
713,sunsteel-strike,メテオドライブ,steel,physical,100,100,5
714,moongeist-beam,シャドーレイ,ghost,special,100,100,5
715,tearful-look,なみだめ,normal,status,,,20
716,zing-zap,びりびりちくちく,electric,physical,80,100,10
717,natures-madness,しぜんのいかり,fairy,special,,90,10
718,multi-attack,マルチアタック,normal,physical,120,100,10
719,10-000-000-volt-thunderbolt,１０００まんボルト,electric,special,195,,1
720,mind-blown,ビックリヘッド,fire,special,150,100,5
721,plasma-fists,プラズマフィスト,electric,physical,100,100,15
722,photon-geyser,フォトンゲイザー,psychic,special,100,100,5
723,light-that-burns-the-sky,てんこがすめつぼうのひかり,psychic,special,200,,1
724,searing-sunraze-smash,サンシャインスマッシャー,steel,physical,200,,1
725,menacing-moonraze-maelstrom,ムーンライトブラスター,ghost,special,200,,1
726,lets-snuggle-forever,ぽかぼかフレンドタイム,fairy,physical,190,,1
727,splintered-stormshards,ラジアルエッジストーム,rock,physical,190,,1
728,clangorous-soulblaze,ブレイジングソウルビート,dragon,special,185,,1
729,zippy-zap,ばちばちアクセル,electric,physical,80,100,10
730,splishy-splash,ざぶざぶサーフ,water,special,90,100,15
731,floaty-fall,ふわふわフォール,flying,physical,90,95,15
732,pika-papow,ピカピカサンダー,electric,special,,,20
733,bouncy-bubble,いきいきバブル,water,special,60,100,20
734,buzzy-buzz,びりびりエレキ,electric,special,60,100,20
735,sizzly-slide,めらめらバーン,fire,physical,60,100,20
736,glitzy-glow,どばどばオーラ,psychic,special,80,95,15
737,baddy-bad,わるわるゾーン,dark,special,80,95,15
738,sappy-seed,すくすくボンバー,grass,physical,100,90,10
739,freezy-frost,こちこちフロスト,ice,special,100,90,10
740,sparkly-swirl,きらきらストーム,fairy,special,120,85,5
741,veevee-volley,ブイブイブレイク,normal,physical,,,20
742,double-iron-bash,ダブルパンツァー,steel,physical,60,100,5
743,max-guard,ダイウォール,normal,status,,,10
744,dynamax-cannon,ダイマックスほう,dragon,special,100,100,5
745,snipe-shot,ねらいうち,water,special,80,100,15
746,jaw-lock,くらいつく,dark,physical,80,100,10
747,stuff-cheeks,ほおばる,normal,status,,,10
748,no-retreat,はいすいのじん,fighting,status,,,5
749,tar-shot,タールショット,rock,status,,100,15
750,magic-powder,まほうのこな,psychic,status,,100,20
751,dragon-darts,ドラゴンアロー,dragon,physical,50,100,10
752,teatime,おちゃかい,normal,status,,,10
753,octolock,たこがため,fighting,status,,100,15
754,bolt-beak,でんげきくちばし,electric,physical,85,100,10
755,fishious-rend,エラがみ,water,physical,85,100,10
756,court-change,コートチェンジ,normal,status,,100,10
757,max-flare,ダイバーン,fire,physical,100,,10
758,max-flutterby,ダイワーム,bug,physical,10,,10
759,max-lightning,ダイサンダー,electric,physical,10,,10
760,max-strike,ダイアタック,normal,physical,10,,10
761,max-knuckle,ダイナックル,fighting,physical,10,,10
762,max-phantasm,ダイホロウ,ghost,physical,10,,10
763,max-hailstorm,ダイアイス,ice,physical,10,,10
764,max-ooze,ダイアシッド,poison,physical,10,,10
765,max-geyser,ダイストリーム,water,physical,10,,10
766,max-airstream,ダイジェット,flying,physical,10,,10
767,max-starfall,ダイフェアリー,fairy,physical,10,,10
768,max-wyrmwind,ダイドラグーン,dragon,physical,10,,10
769,max-mindstorm,ダイサイコ,psychic,physical,10,,10
770,max-rockfall,ダイロック,rock,physical,10,,10
771,max-quake,ダイアース,ground,physical,10,,10
772,max-darkness,ダイアーク,dark,physical,10,,10
773,max-overgrowth,ダイソウゲン,grass,physical,10,,10
774,max-steelspike,ダイスチル,steel,physical,10,,10
775,clangorous-soul,ソウルビート,dragon,status,,100,5
776,body-press,ボディプレス,fighting,physical,80,100,10
777,decorate,デコレーション,fairy,status,,,15
778,drum-beating,ドラムアタック,grass,physical,80,100,10
779,snap-trap,トラバサミ,grass,physical,35,100,15
780,pyro-ball,かえんボール,fire,physical,120,90,5
781,behemoth-blade,きょじゅうざん,steel,physical,100,100,5
782,behemoth-bash,きょじゅうだん,steel,physical,100,100,5
783,aura-wheel,オーラぐるま,electric,physical,110,100,10
784,breaking-swipe,ワイドブレイカー,dragon,physical,60,100,15
785,branch-poke,えだづき,grass,physical,40,100,40
786,overdrive,オーバードライブ,electric,special,80,100,10
787,apple-acid,りんごさん,grass,special,80,100,10
788,grav-apple,Ｇのちから,grass,physical,80,100,10
789,spirit-break,ソウルクラッシュ,fairy,physical,75,100,15
790,strange-steam,ワンダースチーム,fairy,special,90,95,10
791,life-dew,いのちのしずく,water,status,,,10
792,obstruct,ブロッキング,dark,status,,100,10
793,false-surrender,どげざつき,dark,physical,80,,10
794,meteor-assault,スターアサルト,fighting,physical,150,100,5
795,eternabeam,ムゲンダイビーム,dragon,special,160,90,5
796,steel-beam,てっていこうせん,steel,special,140,95,5
797,expanding-force,ワイドフォース,psychic,special,80,100,10
798,steel-roller,アイアンローラー,steel,physical,130,100,5
799,scale-shot,スケイルショット,dragon,physical,25,90,20
800,meteor-beam,メテオビーム,rock,special,120,90,10
801,shell-side-arm,シェルアームズ,poison,special,90,100,10
802,misty-explosion,ミストバースト,fairy,special,100,100,5
803,grassy-glide,グラススライダー,grass,physical,55,100,20
804,rising-voltage,ライジングボルト,electric,special,70,100,20
805,terrain-pulse,だいちのはどう,normal,special,50,100,10
806,skitter-smack,はいよるいちげき,bug,physical,70,90,10
807,burning-jealousy,しっとのほのお,fire,special,70,100,5
808,lash-out,うっぷんばらし,dark,physical,75,100,5
809,poltergeist,ポルターガイスト,ghost,physical,110,90,5
810,corrosive-gas,ふしょくガス,poison,status,,100,40
811,coaching,コーチング,fighting,status,,,10
812,flip-turn,クイックターン,water,physical,60,100,20
813,triple-axel,トリプルアクセル,ice,physical,20,90,10
814,dual-wingbeat,ダブルウイング,flying,physical,40,90,10
815,scorching-sands,ねっさのだいち,ground,special,70,100,10
816,jungle-healing,ジャングルヒール,grass,status,,,10
817,wicked-blow,あんこくきょうだ,dark,physical,75,100,5
818,surging-strikes,すいりゅうれんだ,water,physical,25,100,5
819,thunder-cage,サンダープリズン,electric,special,80,90,15
820,dragon-energy,ドラゴンエナジー,dragon,special,150,100,5
821,freezing-glare,いてつくしせん,psychic,special,90,100,10
822,fiery-wrath,もえあがるいかり,dark,special,90,100,10
823,thunderous-kick,らいめいげり,fighting,physical,90,100,10
824,glacial-lance,ブリザードランス,ice,physical,120,100,5
825,astral-barrage,アストラルビット,ghost,special,120,100,5
826,eerie-spell,ぶきみなじゅもん,psychic,special,80,100,5
827,dire-claw,フェイタルクロー,poison,physical,80,100,15
828,psyshield-bash,バリアーラッシュ,psychic,physical,70,90,10
829,power-shift,パワーシフト,normal,status,0,,10
830,stone-axe,がんせきアックス,rock,physical,65,90,15
831,springtide-storm,はるのあらし,fairy,special,100,80,5
832,mystical-power,しんぴのちから,psychic,special,70,90,10
833,raging-fury,だいふんげき,fire,physical,120,100,10
834,wave-crash,ウェーブタックル,water,physical,120,100,10
835,chloroblast,クロロブラスト,grass,special,150,95,5
836,mountain-gale,ひょうざんおろし,ice,physical,100,85,10
837,victory-dance,しょうりのまい,fighting,status,0,,10
838,headlong-rush,ぶちかまし,ground,physical,120,100,5
839,barb-barrage,どくばりセンボン,poison,physical,60,100,10
840,esper-wing,オーラウイング,psychic,special,80,100,10
841,bitter-malice,うらみつらみ,ghost,special,75,100,10
842,shelter,たてこもる,steel,status,0,,10
843,triple-arrows,３ぼんのや,fighting,physical,90,100,10
844,infernal-parade,ひゃっきやこう,ghost,special,60,100,15
845,ceaseless-edge,ひけん・ちえなみ,dark,physical,65,90,15
846,bleakwind-storm,こがらしあらし,flying,special,100,80,10
847,wildbolt-storm,かみなりあらし,electric,special,100,80,10
848,sandsear-storm,ねっさのあらし,ground,special,100,80,10
849,lunar-blessing,みかづきのいのり,psychic,status,0,,5
850,take-heart,ブレイブチャージ,psychic,status,0,,10
851,tera-blast,テラバースト,normal,special,80,100,10
852,silk-trap,スレッドトラップ,bug,status,0,,10
853,axe-kick,かかとおとし,fighting,physical,120,90,10
854,last-respects,おはかまいり,ghost,physical,50,100,10
855,lumina-crash,ルミナコリジョン,psychic,special,80,100,10
856,order-up,いっちょうあがり,dragon,physical,80,100,10
857,jet-punch,ジェットパンチ,water,physical,60,100,15
858,spicy-extract,ハバネロエキス,grass,status,0,,15
859,spin-out,ホイールスピン,steel,physical,100,100,5
860,population-bomb,ネズミざん,normal,physical,20,90,10
861,ice-spinner,アイススピナー,ice,physical,80,100,15
862,glaive-rush,きょけんとつげき,dragon,physical,120,100,5
863,revival-blessing,さいきのいのり,normal,status,0,,1
864,salt-cure,しおづけ,rock,physical,40,100,15
865,triple-dive,トリプルダイブ,water,physical,30,95,10
866,mortal-spin,キラースピン,poison,physical,30,100,15
867,doodle,うつしえ,normal,status,0,100,10
868,fillet-away,みをけずる,normal,status,0,,10
869,kowtow-cleave,ドゲザン,dark,physical,85,,10
870,flower-trick,トリックフラワー,grass,physical,70,,10
871,torch-song,フレアソング,fire,special,80,100,10
872,aqua-step,アクアステップ,water,physical,80,100,10
873,raging-bull,レイジングブル,normal,physical,90,100,10
874,make-it-rain,ゴールドラッシュ,steel,special,120,100,5
875,psyblade,サイコブレイド ,psychic,physical,80,100,15
876,hydro-steam,ハイドロスチーム,water,special,80,100,15
877,ruination,カタストロフィ,dark,special,1,90,10
878,collision-course,アクセルブレイク,fighting,physical,100,100,5
879,electro-drift,イナズマドライブ,electric,special,100,100,5
880,shed-tail,しっぽきり,normal,status,0,,10
881,chilly-reception,さむいギャグ,ice,status,0,,10
882,tidy-up,おかたづけ,normal,status,0,,10
883,snowscape,ゆきげしき,ice,status,0,,10
884,pounce,とびつく,bug,physical,50,100,20
885,trailblaze,くさわけ,grass,physical,50,100,20
886,chilling-water,ひやみず,water,special,50,100,20
887,hyper-drill,ハイパードリル,normal,physical,100,100,5
888,twin-beam,ツインビーム,psychic,special,40,100,10
889,rage-fist,ふんどのこぶし,ghost,physical,50,100,10
890,armor-cannon,アーマーキャノン,fire,special,120,100,5
891,bitter-blade,むねんのつるぎ,fire,physical,90,100,10
892,double-shock,でんこうそうげき,electric,physical,120,100,5
893,gigaton-hammer,デカハンマー,steel,physical,160,100,5
894,comeuppance,ほうふく,dark,physical,1,100,10
895,aqua-cutter,アクアカッター,water,physical,70,100,20
896,blazing-torque,バーンアクセル,fire,physical,80,100,10
897,wicked-torque,ダークアクセル,dark,physical,80,100,10
898,noxious-torque,ポイズンアクセル,poison,physical,100,100,10
899,combat-torque,ファイトアクセル,fighting,physical,100,100,10
900,magical-torque,マジカルアクセル,fairy,physical,100,100,10
901,blood-moon,ブラッドムーン,normal,special,140,100,5
902,matcha-gotcha,シャカシャカほう,grass,special,80,90,15
903,syrup-bomb,みずあめボム,grass,special,60,85,10
904,ivy-cudgel,ツタこんぼう,grass,physical,100,100,10
905,electro-shot,エレクトロビーム,electric,special,130,100,10
906,tera-starstorm,テラクラスター,normal,special,120,100,5
907,fickle-beam,きまぐレーザー,dragon,special,80,100,5
908,burning-bulwark,かえんのまもり,fire,status,0,0,10
909,thunderclap,じんらい,electric,special,70,100,5
910,mighty-cleave,パワフルエッジ,rock,physical,95,100,5
911,tachyon-cutter,タキオンカッター,steel,special,50,0,10
912,hard-press,ハードプレス,steel,physical,0,100,10
913,dragon-cheer,ドラゴンエール,dragon,status,0,0,15
914,alluring-voice,みわくのボイス,fairy,special,80,100,10
915,temper-flare,やけっぱち,fire,physical,75,100,10
916,supercell-slam,サンダーダイブ,electric,physical,100,95,15
917,psychic-noise,サイコノイズ,psychic,special,75,100,10
918,upper-hand,はやてがえし,fighting,physical,65,100,15
919,malignant-chain,じゃどくのくさり,poison,special,100,100,5
10001,shadow-rush,ダークラッシュ,shadow,physical,55,100,
10002,shadow-blast,ダークブラスト,shadow,physical,80,100,
10003,shadow-blitz,ダークアタック,shadow,physical,40,100,
10004,shadow-bolt,ダークサンダー,shadow,special,75,100,
10005,shadow-break,ダークブレイク,shadow,physical,75,100,
10006,shadow-chill,ダークフリーズ,shadow,special,75,100,
10007,shadow-end,ダークエンド,shadow,physical,120,60,
10008,shadow-fire,ダークファイア,shadow,special,75,100,
10009,shadow-rave,ダークレイブ,shadow,special,70,100,
10010,shadow-storm,ダークストーム,shadow,special,95,100,
10011,shadow-wave,ダークウェーブ,shadow,special,50,100,
10012,shadow-down,ダークダウン,shadow,status,,100,
10013,shadow-half,ダークハーフ,shadow,special,,100,
10014,shadow-hold,ダークホールド,shadow,status,,,
10015,shadow-mist,ダークミスト,shadow,status,,100,
10016,shadow-panic,ダークパニック,shadow,status,,90,
10017,shadow-shed,ダークリムーブ,shadow,status,,,
10018,shadow-sky,ダークウェザー,shadow,status,,,
