id,name,name_ja,category,category_ja
641,x-sp-atk-3,ＳＰアップ３,miracle-shooter,
642,x-sp-def-3,ＳＰガード３,miracle-shooter,
643,x-defense-3,ディフェンダー３,miracle-shooter,
644,x-attack-3,プラスパワー３,miracle-shooter,
645,x-accuracy-3,ヨクアタール３,miracle-shooter,
646,x-speed-6,スピーダー６,miracle-shooter,
647,x-sp-atk-6,ＳＰアップ６,miracle-shooter,
648,x-sp-def-6,ＳＰガード６,miracle-shooter,
649,x-defense-6,ディフェンダー６,miracle-shooter,
650,x-attack-6,プラスパワー６,miracle-shooter,
651,x-accuracy-6,ヨクアタール６,miracle-shooter,
652,ability-urge,スキルコール,miracle-shooter,
653,item-drop,アイテムドロップ,miracle-shooter,
654,item-urge,アイテムコール,miracle-shooter,
655,reset-urge,フラットコール,miracle-shooter,
656,dire-hit-3,クリティカット３,miracle-shooter,
657,light-stone,ライトストーン,plot-advancement,
658,dark-stone,ダークストーン,plot-advancement,
659,tm93,わざマシン９３,all-machines,
660,tm94,わざマシン９４,all-machines,
661,tm95,わざマシン９５,all-machines,
662,xtransceiver,ライブキャスター,gameplay,
663,god-stone,ゴッドストーン,unused,
664,gram-1,はいたつぶつ１,plot-advancement,
665,gram-2,はいたつぶつ２,plot-advancement,
666,gram-3,はいたつぶつ３,plot-advancement,
668,dragon-gem,ドラゴンジュエル,jewels,
669,normal-gem,ノーマルジュエル,jewels,
670,medal-box,メダルボックス,gameplay,
671,dna-splicers,いでんしのくさび,gameplay,
673,permit,きょかしょう,gameplay,
674,oval-charm,まるいおまもり,gameplay,
675,shiny-charm,ひかるおまもり,gameplay,
676,plasma-card,プラズマカード,plot-advancement,
677,grubby-hanky,よごれたハンカチ,plot-advancement,
678,colress-machine,アクロママシーン,plot-advancement,
679,dropped-item,わすれもの,plot-advancement,
681,reveal-glass,うつしかがみ,gameplay,
682,weakness-policy,じゃくてんほけん,held-items,
683,assault-vest,とつげきチョッキ,held-items,
684,pixie-plate,せいれいプレート,plates,
685,ability-capsule,とくせいカプセル,vitamins,
686,whipped-dream,ホイップポップ,evolution,
687,sachet,においぶくろ,evolution,
688,luminous-moss,ひかりごけ,held-items,
689,snowball,ゆきだま,held-items,
690,safety-goggles,ぼうじんゴーグル,held-items,
691,rich-mulch,たわわこやし,mulch,
692,surprise-mulch,びっくりこやし,mulch,
693,boost-mulch,ぐんぐんこやし,mulch,
694,amaze-mulch,とんでもこやし,mulch,
695,gengarite,ゲンガナイト,mega-stones,
696,gardevoirite,サーナイトナイト,mega-stones,
697,ampharosite,デンリュウナイト,mega-stones,
698,venusaurite,フシギバナイト,mega-stones,
699,charizardite-x,リザードナイトＸ,mega-stones,
700,blastoisinite,カメックスナイト,mega-stones,
701,mewtwonite-x,ミュウツナイトＸ,mega-stones,
702,mewtwonite-y,ミュウツナイトＹ,mega-stones,
703,blazikenite,バシャーモナイト,mega-stones,
704,medichamite,チャーレムナイト,mega-stones,
705,houndoominite,ヘルガナイト,mega-stones,
706,aggronite,ボスゴドラナイト,mega-stones,
707,banettite,ジュペッタナイト,mega-stones,
708,tyranitarite,バンギラスナイト,mega-stones,
709,scizorite,ハッサムナイト,mega-stones,
710,pinsirite,カイロスナイト,mega-stones,
711,aerodactylite,プテラナイト,mega-stones,
712,lucarionite,ルカリオナイト,mega-stones,
713,abomasite,ユキノオナイト,mega-stones,
714,kangaskhanite,ガルーラナイト,mega-stones,
715,gyaradosite,ギャラドスナイト,mega-stones,
716,absolite,アブソルナイト,mega-stones,
717,charizardite-y,リザードナイトＹ,mega-stones,
718,alakazite,フーディナイト,mega-stones,
719,heracronite,ヘラクロスナイト,mega-stones,
720,mawilite,クチートナイト,mega-stones,
721,manectite,ライボルトナイト,mega-stones,
722,garchompite,ガブリアスナイト,mega-stones,
723,roseli-berry,ロゼルのみ,type-protection,
724,kee-berry,アッキのみ,other,
725,maranga-berry,タラプのみ,other,
726,discount-coupon,バーゲンチケット,loot,
727,strange-souvenir,ふしぎなおきもの,loot,
728,lumiose-galette,ミアレガレット,status-cures,
729,jaw-fossil,アゴのカセキ,dex-completion,
730,sail-fossil,ヒレのカセキ,dex-completion,
731,fairy-gem,ようせいジュエル,jewels,
732,adventure-rules,たんけんこころえ,gameplay,
733,elevator-key,エレベータのキー,plot-advancement,
734,holo-caster,ホロキャスター,gameplay,
735,honor-of-kalos,カロスエンブレム,plot-advancement,
736,intriguing-stone,すごそうないし,plot-advancement,
737,lens-case,レンズケース,gameplay,
738,looker-ticket,ハンサムチケット,plot-advancement,
739,mega-ring,メガリング,gameplay,
740,power-plant-pass,はつでんしょパス,plot-advancement,
741,profs-letter,はかせのてがみ,plot-advancement,
742,roller-skates,ローラースケート,gameplay,
743,sprinklotad,ハスボーじょうろ,gameplay,
744,tmv-pass,ＴＭＶパス,gameplay,
745,tm96,わざマシン９６,all-machines,
746,tm97,わざマシン９７,all-machines,
747,tm98,わざマシン９８,all-machines,
748,tm99,わざマシン９９,all-machines,
749,tm100,わざマシン１００,all-machines,
760,latiasite,ラティアスナイト,mega-stones,
761,latiosite,ラティオスナイト,mega-stones,
762,common-stone,ありふれたいし,unused,
763,makeup-bag,コスメポーチ,gameplay,
764,travel-trunk,いしょうトランク,unused,
765,shalour-sable,シャラサブレ,status-cures,
768,mega-charm,メガチャーム,unused,
769,mega-glove,メガグローブ,unused,
770,devon-parts,デボンのにもつ,plot-advancement,
772,pokeblock-kit,ポロックキット,gameplay,
773,key-to-room-1,１ごうしつのカギ,plot-advancement,
774,key-to-room-2,２ごうしつのカギ,plot-advancement,
775,key-to-room-4,４ごうしつのカギ,plot-advancement,
776,key-to-room-6,６ごうしつのカギ,plot-advancement,
779,devon-scuba-gear,デボンボンベ,plot-advancement,
780,contest-costume--jacket,ライブスーツ,gameplay,
782,magma-suit,マグマスーツ,plot-advancement,
783,aqua-suit,アクアスーツ,plot-advancement,
784,pair-of-tickets,ペアチケット,plot-advancement,
785,mega-bracelet,メガバングル,gameplay,
786,mega-pendant,メガペンダント,unused,
787,mega-glasses,メガメガネ,unused,
788,mega-anchor,メガイカリ,unused,
789,mega-stickpin,メガラペルピン,unused,
790,mega-tiara,メガティアラ,unused,
791,mega-anklet,メガアンクレット,unused,
793,swampertite,ラグラージナイト,mega-stones,
794,sceptilite,ジュカインナイト,mega-stones,
795,sablenite,ヤミラミナイト,mega-stones,
796,altarianite,チルタリスナイト,mega-stones,
797,galladite,エルレイドナイト,mega-stones,
798,audinite,タブンネナイト,mega-stones,
799,metagrossite,メタグロスナイト,mega-stones,
800,sharpedonite,サメハダナイト,mega-stones,
801,slowbronite,ヤドランナイト,mega-stones,
802,steelixite,ハガネールナイト,mega-stones,
803,pidgeotite,ピジョットナイト,mega-stones,
804,glalitite,オニゴーリナイト,mega-stones,
805,diancite,ディアンシナイト,mega-stones,
806,prison-bottle,いましめのツボ,gameplay,
807,mega-cuff,メガブレス,unused,
808,cameruptite,バクーダナイト,mega-stones,
809,lopunnite,ミミロップナイト,mega-stones,
810,salamencite,ボーマンダナイト,mega-stones,
811,beedrillite,スピアナイト,mega-stones,
814,key-stone,キーストーン,gameplay,
815,meteorite-shard,いんせきのかけら,plot-advancement,
816,eon-flute,むげんのふえ,gameplay,
817,normalium-z--held,ノーマルＺ,z-crystals,
818,firium-z--held,ホノオＺ,z-crystals,
819,waterium-z--held,ミズＺ,z-crystals,
820,electrium-z--held,デンキＺ,z-crystals,
821,grassium-z--held,クサＺ,z-crystals,
822,icium-z--held,コオリＺ,z-crystals,
823,fightinium-z--held,カクトウＺ,z-crystals,
824,poisonium-z--held,ドクＺ,z-crystals,
825,groundium-z--held,ジメンＺ,z-crystals,
826,flyinium-z--held,ヒコウＺ,z-crystals,
827,psychium-z--held,エスパーＺ,z-crystals,
828,buginium-z--held,ムシＺ,z-crystals,
829,rockium-z--held,イワＺ,z-crystals,
830,ghostium-z--held,ゴーストＺ,z-crystals,
831,dragonium-z--held,ドラゴンＺ,z-crystals,
832,darkinium-z--held,アクＺ,z-crystals,
833,steelium-z--held,ハガネＺ,z-crystals,
834,fairium-z--held,フェアリーＺ,z-crystals,
835,pikanium-z--held,ピカチュウＺ,z-crystals,
836,bottle-cap,ぎんのおうかん,loot,
837,gold-bottle-cap,きんのおうかん,loot,
838,z-ring,Ｚリング,gameplay,
839,decidium-z--held,ジュナイパーＺ,z-crystals,
840,incinium-z--held,ガオガエンＺ,z-crystals,
841,primarium-z--held,アシレーヌＺ,z-crystals,
842,tapunium-z--held,カプＺ,z-crystals,
843,marshadium-z--held,マーシャドーＺ,z-crystals,
844,aloraichium-z--held,アロライＺ,z-crystals,
845,snorlium-z--held,カビゴンＺ,z-crystals,
846,eevium-z--held,イーブイＺ,z-crystals,
847,mewnium-z--held,ミュウＺ,z-crystals,
877,pikashunium-z--held,サトピカＺ,z-crystals,
878,forage-bag,ざいりょうぶくろ,gameplay,
879,fishing-rod,つりざお,gameplay,
880,professors-mask,はかせのふくめん,plot-advancement,
881,festival-ticket,フェスチケット,gameplay,
882,sparkling-stone,かがやくいし,plot-advancement,
883,adrenaline-orb,ビビリだま,held-items,
884,zygarde-cube,ジガルデキューブ,gameplay,
885,ice-stone,こおりのいし,evolution,
886,ride-pager,ライドギア,unused,
887,beast-ball,ウルトラボール,special-balls,
888,big-malasada,おおきいマラサダ,status-cures,
889,red-nectar,くれないのミツ,species-specific,
890,yellow-nectar,やまぶきのミツ,species-specific,
891,pink-nectar,うすもものミツ,species-specific,
892,purple-nectar,むらさきのミツ,species-specific,
893,sun-flute,たいようのふえ,plot-advancement,
894,moon-flute,つきのふえ,plot-advancement,
895,enigmatic-card,あやしいカード,plot-advancement,
896,terrain-extender,グランドコート,held-items,
897,protective-pads,ぼうごパット,held-items,
898,electric-seed,エレキシード,held-items,
899,psychic-seed,サイコシード,held-items,
900,misty-seed,ミストシード,held-items,
901,grassy-seed,グラスシード,held-items,
902,fighting-memory,ファイトメモリ,memories,
903,flying-memory,フライングメモリ,memories,
904,poison-memory,ポイズンメモリ,memories,
905,ground-memory,グラウンドメモリ,memories,
906,rock-memory,ロックメモリ,memories,
907,bug-memory,バグメモリ,memories,
908,ghost-memory,ゴーストメモリ,memories,
909,steel-memory,スチールメモリ,memories,
910,fire-memory,ファイヤーメモリ,memories,
911,water-memory,ウオーターメモリ,memories,
912,grass-memory,グラスメモリ,memories,
913,electric-memory,エレクトロメモリ,memories,
914,psychic-memory,サイキックメモリ,memories,
915,ice-memory,アイスメモリ,memories,
916,dragon-memory,ドラゴンメモリ,memories,
917,dark-memory,ダークメモリ,memories,
918,fairy-memory,フェアリーメモリ,memories,
919,bike--green,じてんしゃ,unused,
920,storage-key--galactic-warehouse,そうこのカギ,unused,
921,basement-key--goldenrod,ちかのかぎ,unused,
922,xtransceiver--red,ライブキャスター,unused,
923,xtransceiver--yellow,ライブキャスター,unused,
924,dna-splicers--merge,いでんしのくさび,unused,
925,dna-splicers--split,いでんしのくさび,unused,
926,dropped-item--red,わすれもの,unused,
927,dropped-item--yellow,わすれもの,unused,
928,holo-caster--green,ホロキャスター,unused,
929,bike--yellow,じてんしゃ,unused,
930,holo-caster--red,ホロキャスター,unused,
931,basement-key--new-mauville,ちかのカギ,unused,
932,storage-key--sea-mauville,そうこのカギ,unused,
933,ss-ticket--hoenn,ふねのチケット,unused,
934,contest-costume--dress,ライブドレス,unused,
935,meteorite--2,いんせき,unused,
936,meteorite--3,いんせき,unused,
937,meteorite--4,いんせき,unused,
938,normalium-z--bag,ノーマルＺ,unused,
939,firium-z--bag,ホノオＺ,unused,
940,waterium-z--bag,ミズＺ,unused,
941,electrium-z--bag,デンキＺ,unused,
942,grassium-z--bag,クサＺ,unused,
943,icium-z--bag,コオリＺ,unused,
944,fightinium-z--bag,カクトウＺ,unused,
945,poisonium-z--bag,ドクＺ,unused,
946,groundium-z--bag,ジメンＺ,unused,
947,flyinium-z--bag,ヒコウＺ,unused,
948,psychium-z--bag,エスパーＺ,unused,
949,buginium-z--bag,ムシＺ,unused,
950,rockium-z--bag,イワＺ,unused,
951,ghostium-z--bag,ゴーストＺ,unused,
952,dragonium-z--bag,ドラゴンＺ,unused,
953,darkinium-z--bag,アクＺ,unused,
954,steelium-z--bag,ハガネＺ,unused,
955,fairium-z--bag,フェアリーＺ,unused,
956,pikanium-z--bag,ピカチュウＺ,unused,
957,decidium-z--bag,ジュナイパーＺ,unused,
958,incinium-z--bag,ガオガエンＺ,unused,
959,primarium-z--bag,アシレーヌＺ,unused,
960,tapunium-z--bag,カプＺ,unused,
961,marshadium-z--bag,マーシャドーＺ,unused,
962,aloraichium-z--bag,アロライＺ,unused,
963,snorlium-z--bag,カビゴンＺ,unused,
964,eevium-z--bag,イーブイＺ,unused,
965,mewnium-z--bag,ミュウＺ,unused,
966,pikashunium-z--bag,サトピカＺ,unused,
967,solganium-z--held,ソルガレオＺ,unused,
968,lunalium-z--held,ルナアーラＺ,unused,
969,ultranecrozium-z--held,ウルトラネクロＺ,unused,
970,mimikium-z--held,ミミッキュＺ,unused,
971,lycanium-z--held,ルガルガンＺ,unused,
972,kommonium-z--held,ジャラランガＺ,unused,
973,solganium-z--bag,ソルガレオＺ,unused,
974,lunalium-z--bag,ルナアーラＺ,unused,
975,ultranecrozium-z--bag,ウルトラネクロＺ,unused,
976,mimikium-z--bag,ミミッキュＺ,unused,
977,lycanium-z--bag,ルガルガンＺ,unused,
978,kommonium-z--bag,ジャラランガＺ,unused,
979,z-power-ring,Ｚパワーリング,unused,
980,pink-petal,ももいろはなびら,unused,
981,orange-petal,だいだいはなびら,unused,
982,blue-petal,あおのはなびら,unused,
983,red-petal,あかのはなびら,unused,
984,green-petal,みどりのはなびら,unused,
985,yellow-petal,きいろのはなびら,unused,
986,purple-petal,むらさきはなびら,unused,
987,rainbow-flower,にじいろのはな,unused,
988,surge-badge,だいだいバッジ,unused,
989,n-solarizer--merge,ネクロプラスソル,unused,
990,n-lunarizer--merge,ネクロプラスルナ,unused,
991,n-solarizer--split,ネクロプラスソル,unused,
992,n-lunarizer--split,ネクロプラスルナ,unused,
993,ilimas-normalium-z,イリマノーマルＺ,unused,
994,left-poke-ball,のこされたボール,unused,
995,roto-hatch,タマゴふかポン,unused,
996,roto-bargain,やすうりポン,unused,
997,roto-prize-money,おこづかいポン,unused,
998,roto-exp-points,けいけんポン,unused,
999,roto-friendship,なつきポン,unused,
1000,roto-encounter,みっけポン,unused,
1001,roto-stealth,かくれポン,unused,
1002,roto-hp-restore,ＨＰかいふくポン,unused,
1003,roto-pp-restore,ＰＰかいふくポン,unused,
1004,roto-boost,おうえんポン,unused,
1005,roto-catch,つかまえポン,unused,
1006,autograph,マチスのサイン,unused,
1007,pokemon-box,ポケモンボックス,unused,
1008,medicine-pocket,かいふくポケット,unused,
1009,candy-jar,アメボトル,unused,
1010,power-up-pocket,きょうかポケット,unused,
1011,clothing-trunk,おきがえトランク,unused,
1012,catching-pocket,ほかくポケット,unused,
1013,battle-pocket,バトルポケット,unused,
1014,silver-razz-berry,ぎんのズリのみ,catching-bonus,
1015,golden-razz-berry,きんのズリのみ,catching-bonus,
1016,silver-nanab-berry,ぎんのナナのみ,catching-bonus,
1017,golden-nanab-berry,きんのナナのみ,catching-bonus,
1018,silver-pinap-berry,ぎんのパイルのみ,catching-bonus,
1019,golden-pinap-berry,きんのパイルのみ,catching-bonus,
1020,secret-key--letsgo,ひみつのカギ,plot-advancement,
1021,ss-ticket--letsgo,ふねのチケット,plot-advancement,
1022,parcel--letsgo,おとどけもの,plot-advancement,
1023,card-key--letsgo,カードキー,plot-advancement,
1024,stretchy-spring,のびたバネ,loot,
1025,chalky-stone,チョークいし,loot,
1026,marble,ビーだま,loot,
1027,lone-earring,かたっぽピアス,loot,
1028,beach-glass,うみべのガラス,loot,
1029,gold-leaf,きんのはっぱ,loot,
1030,silver-leaf,ぎんのはっぱ,loot,
1031,polished-mud-ball,ピカピカだんご,loot,
1032,tropical-shell,なんごくかいがら,loot,
1033,leaf-letter--pikachu,このはのおてがみ,loot,
1034,leaf-letter--eevee,このはのおてがみ,loot,
1035,small-bouquet,ちいさなはなたば,loot,
1036,lure,むしよせコロン,spelunking,
1037,super-lure,シルバーコロン,spelunking,
1038,max-lure,ゴールドコロン,spelunking,
1039,pewter-crunchies,ニビあられ,status-cures,
1040,health-candy,げんきのアメ,vitamins,
1041,mighty-candy,ちからのアメ,vitamins,
1042,tough-candy,まもりのアメ,vitamins,
1043,smart-candy,ちしきのアメ,vitamins,
1044,courage-candy,こころのアメ,vitamins,
1045,quick-candy,はやさのアメ,vitamins,
1046,health-candy-l,げんきのアメＬ,vitamins,
1047,mighty-candy-l,ちからのアメＬ,vitamins,
1048,tough-candy-l,まもりのアメＬ,vitamins,
1049,smart-candy-l,ちしきのアメＬ,vitamins,
1050,courage-candy-l,こころのアメＬ,vitamins,
1051,quick-candy-l,はやさのアメＬ,vitamins,
1052,health-candy-xl,げんきのアメＸＬ,vitamins,
1053,mighty-candy-xl,ちからのアメＸＬ,vitamins,
1054,tough-candy-xl,まもりのアメＸＬ,vitamins,
1055,smart-candy-xl,ちしきのアメＸＬ,vitamins,
1056,courage-candy-xl,こころのアメＸＬ,vitamins,
1057,quick-candy-xl,はやさのアメＸＬ,vitamins,
1058,bulbasaur-candy,フシギダネのアメ,species-candies,
1059,charmander-candy,ヒトカゲのアメ,species-candies,
1060,squirtle-candy,ゼニガメのアメ,species-candies,
1061,caterpie-candy,キャタピーのアメ,species-candies,
1062,weedle-candy,ビードルのアメ,species-candies,
1063,pidgey-candy,ポッポのアメ,species-candies,
1064,rattata-candy,コラッタのアメ,species-candies,
1065,spearow-candy,オニスズメのアメ,species-candies,
1066,ekans-candy,アーボのアメ,species-candies,
1067,pikachu-candy,ピカチュウのアメ,species-candies,
1068,sandshrew-candy,サンドのアメ,species-candies,
1069,nidoran-f-candy,ニドラン♀のアメ,species-candies,
1070,nidoran-m-candy,ニドラン♂のアメ,species-candies,
1071,clefairy-candy,ピッピのアメ,species-candies,
1072,vulpix-candy,ロコンのアメ,species-candies,
1073,jigglypuff-candy,プリンのアメ,species-candies,
1074,zubat-candy,ズバットのアメ,species-candies,
1075,oddish-candy,ナゾノクサのアメ,species-candies,
1076,paras-candy,パラスのアメ,species-candies,
1077,venonat-candy,コンパンのアメ,species-candies,
1078,diglett-candy,ディグダのアメ,species-candies,
1079,meowth-candy,ニャースのアメ,species-candies,
1080,psyduck-candy,コダックのアメ,species-candies,
1081,mankey-candy,マンキーのアメ,species-candies,
1082,growlithe-candy,ガーディのアメ,species-candies,
1083,poliwag-candy,ニョロモのアメ,species-candies,
1084,abra-candy,ケーシィのアメ,species-candies,
1085,machop-candy,ワンリキーのアメ,species-candies,
1086,bellsprout-candy,マダツボミのアメ,species-candies,
1087,tentacool-candy,メノクラゲのアメ,species-candies,
1088,geodude-candy,イシツブテのアメ,species-candies,
1089,ponyta-candy,ポニータのアメ,species-candies,
1090,slowpoke-candy,ヤドンのアメ,species-candies,
1091,magnemite-candy,コイルのアメ,species-candies,
1092,farfetchd-candy,カモネギのアメ,species-candies,
1093,doduo-candy,ドードーのアメ,species-candies,
1094,seel-candy,パウワウのアメ,species-candies,
1095,grimer-candy,ベトベターのアメ,species-candies,
1096,shellder-candy,シェルダーのアメ,species-candies,
1097,gastly-candy,ゴースのアメ,species-candies,
1098,onix-candy,イワークのアメ,species-candies,
1099,drowzee-candy,スリープのアメ,species-candies,
1100,krabby-candy,クラブのアメ,species-candies,
1101,voltorb-candy,ビリリダマのアメ,species-candies,
1102,exeggcute-candy,タマタマのアメ,species-candies,
1103,cubone-candy,カラカラのアメ,species-candies,
1104,hitmonlee-candy,サワムラーのアメ,species-candies,
1105,hitmonchan-candy,エビワラーのアメ,species-candies,
1106,lickitung-candy,ベロリンガのアメ,species-candies,
1107,koffing-candy,ドガースのアメ,species-candies,
1108,rhyhorn-candy,サイホーンのアメ,species-candies,
1109,chansey-candy,ラッキーのアメ,species-candies,
1110,tangela-candy,モンジャラのアメ,species-candies,
1111,kangaskhan-candy,ガルーラのアメ,species-candies,
1112,horsea-candy,タッツーのアメ,species-candies,
1113,goldeen-candy,トサキントのアメ,species-candies,
1114,staryu-candy,ヒトデマンのアメ,species-candies,
1115,mr-mime-candy,バリヤードのアメ,species-candies,
1116,scyther-candy,ストライクのアメ,species-candies,
1117,jynx-candy,ルージュラのアメ,species-candies,
1118,electabuzz-candy,エレブーのアメ,species-candies,
1119,pinsir-candy,カイロスのアメ,species-candies,
1120,tauros-candy,ケンタロスのアメ,species-candies,
1121,magikarp-candy,コイキングのアメ,species-candies,
1122,lapras-candy,ラプラスのアメ,species-candies,
1123,ditto-candy,メタモンのアメ,species-candies,
1124,eevee-candy,イーブイのアメ,species-candies,
1125,porygon-candy,ポリゴンのアメ,species-candies,
1126,omanyte-candy,オムナイトのアメ,species-candies,
1127,kabuto-candy,カブトのアメ,species-candies,
1128,aerodactyl-candy,プテラのアメ,species-candies,
1129,snorlax-candy,カビゴンのアメ,species-candies,
1130,articuno-candy,フリーザーのアメ,species-candies,
1131,zapdos-candy,サンダーのアメ,species-candies,
1132,moltres-candy,ファイヤーのアメ,species-candies,
1133,dratini-candy,ミニリュウのアメ,species-candies,
1134,mewtwo-candy,ミュウツーのアメ,species-candies,
1135,mew-candy,ミュウのアメ,species-candies,
1136,meltan-candy,メルタンのアメ,species-candies,
1137,magmar-candy,ブーバーのアメ,species-candies,
1138,endorsement,すいせんじょう,plot-advancement,
1139,pokemon-box-link,ポケモンボックス,gameplay,
1140,wishing-star,ねがいぼし,plot-advancement,
1141,dynamax-band,ダイマックスＢ,plot-advancement,
1142,fishing-rod--galar,つりざお,gameplay,
1143,rotom-bike,ロトムじてんしゃ,gameplay,
1144,sausages,あらびきヴルスト,curry-ingredients,
1145,bobs-food-tin,ボブのかんづめ,curry-ingredients,
1146,bachs-food-tin,バックのかんづめ,curry-ingredients,
1147,tin-of-beans,マメかん,curry-ingredients,
1148,bread,しょくパン,curry-ingredients,
1149,pasta,パスタ,curry-ingredients,
1150,mixed-mushrooms,キノコパック,curry-ingredients,
1151,smoke-poke-tail,しっぽのくんせい,curry-ingredients,
1152,large-leek,ふといながねぎ,curry-ingredients,
1153,fancy-apple,とくせんリンゴ,curry-ingredients,
1154,brittle-bones,かぼそいホネ,curry-ingredients,
1155,pack-of-potatoes,ポテトパック,curry-ingredients,
1156,pungent-root,みずべのハーブ,curry-ingredients,
1157,salad-mix,やさいパック,curry-ingredients,
1158,fried-food,フライもりあわせ,curry-ingredients,
1159,boiled-egg,ゆでタマゴ,curry-ingredients,
1160,camping-gear,キャンプセット,gameplay,
1161,rusted-sword,くちたけん,species-specific,
1162,rusted-shield,くちたたて,species-specific,
1163,fossilized-bird,カセキのトリ,dex-completion,
1164,fossilized-fish,カセキのサカナ,dex-completion,
1165,fossilized-drake,カセキのリュウ,dex-completion,
1166,fossilized-dino,カセキのクビナガ,dex-completion,
1167,strawberry-sweet,いちごアメざいく,evolution,
1168,love-sweet,ハートアメざいく,evolution,
1169,berry-sweet,ベリーアメざいく,evolution,
1170,clover-sweet,よつばアメざいく,evolution,
1171,flower-sweet,おはなアメざいく,evolution,
1172,star-sweet,スターアメざいく,evolution,
1173,ribbon-sweet,リボンアメざいく,evolution,
1174,sweet-apple,あまーいりんご,evolution,
1175,tart-apple,すっぱいりんご,evolution,
1176,throat-spray,のどスプレー,held-items,
1177,eject-pack,だっしゅつパック,held-items,
1178,heavy-duty-boots,あつぞこブーツ,held-items,
1179,blunder-policy,からぶりほけん,held-items,
1180,room-service,ルームサービス,held-items,
1181,utility-umbrella,ばんのうがさ,held-items,
1182,exp-candy-xs,けいけんアメＸＳ,vitamins,
1183,exp-candy-s,けいけんアメＳ,vitamins,
1184,exp-candy-m,けいけんアメＭ,vitamins,
1185,exp-candy-l,けいけんアメＬ,vitamins,
1186,exp-candy-xl,けいけんアメＸＬ,vitamins,
1187,dynamax-candy,ダイマックスアメ,vitamins,
1188,tr00,わざレコード００,all-machines,
1189,tr01,わざレコード０１,all-machines,
1190,tr02,わざレコード０２,all-machines,
1191,tr03,わざレコード０３,all-machines,
1192,tr04,わざレコード０４,all-machines,
1193,tr05,わざレコード０５,all-machines,
1194,tr06,わざレコード０６,all-machines,
1195,tr07,わざレコード０７,all-machines,
1196,tr08,わざレコード０８,all-machines,
1197,tr09,わざレコード０９,all-machines,
1198,tr10,わざレコード１０,all-machines,
1199,tr11,わざレコード１１,all-machines,
1200,tr12,わざレコード１２,all-machines,
1201,tr13,わざレコード１３,all-machines,
1202,tr14,わざレコード１４,all-machines,
1203,tr15,わざレコード１５,all-machines,
1204,tr16,わざレコード１６,all-machines,
1205,tr17,わざレコード１７,all-machines,
1206,tr18,わざレコード１８,all-machines,
1207,tr19,わざレコード１９,all-machines,
1208,tr20,わざレコード２０,all-machines,
1209,tr21,わざレコード２１,all-machines,
1210,tr22,わざレコード２２,all-machines,
1211,tr23,わざレコード２３,all-machines,
1212,tr24,わざレコード２４,all-machines,
1213,tr25,わざレコード２５,all-machines,
1214,tr26,わざレコード２６,all-machines,
1215,tr27,わざレコード２７,all-machines,
1216,tr28,わざレコード２８,all-machines,
1217,tr29,わざレコード２９,all-machines,
1218,tr30,わざレコード３０,all-machines,
1219,tr31,わざレコード３１,all-machines,
1220,tr32,わざレコード３２,all-machines,
1221,tr33,わざレコード３３,all-machines,
1222,tr34,わざレコード３４,all-machines,
1223,tr35,わざレコード３５,all-machines,
1224,tr36,わざレコード３６,all-machines,
1225,tr37,わざレコード３７,all-machines,
1226,tr38,わざレコード３８,all-machines,
1227,tr39,わざレコード３９,all-machines,
1228,tr40,わざレコード４０,all-machines,
1229,tr41,わざレコード４１,all-machines,
1230,tr42,わざレコード４２,all-machines,
1231,tr43,わざレコード４３,all-machines,
1232,tr44,わざレコード４４,all-machines,
1233,tr45,わざレコード４５,all-machines,
1234,tr46,わざレコード４６,all-machines,
1235,tr47,わざレコード４７,all-machines,
1236,tr48,わざレコード４８,all-machines,
1237,tr49,わざレコード４９,all-machines,
1238,tr50,わざレコード５０,all-machines,
1239,tr51,わざレコード５１,all-machines,
1240,tr52,わざレコード５２,all-machines,
1241,tr53,わざレコード５３,all-machines,
1242,tr54,わざレコード５４,all-machines,
1243,tr55,わざレコード５５,all-machines,
1244,tr56,わざレコード５６,all-machines,
1245,tr57,わざレコード５７,all-machines,
1246,tr58,わざレコード５８,all-machines,
1247,tr59,わざレコード５９,all-machines,
1248,tr60,わざレコード６０,all-machines,
1249,tr61,わざレコード６１,all-machines,
1250,tr62,わざレコード６２,all-machines,
1251,tr63,わざレコード６３,all-machines,
1252,tr64,わざレコード６４,all-machines,
1253,tr65,わざレコード６５,all-machines,
1254,tr66,わざレコード６６,all-machines,
1255,tr67,わざレコード６７,all-machines,
1256,tr68,わざレコード６８,all-machines,
1257,tr69,わざレコード６９,all-machines,
1258,tr70,わざレコード７０,all-machines,
1259,tr71,わざレコード７１,all-machines,
1260,tr72,わざレコード７２,all-machines,
1261,tr73,わざレコード７３,all-machines,
1262,tr74,わざレコード７４,all-machines,
1263,tr75,わざレコード７５,all-machines,
1264,tr76,わざレコード７６,all-machines,
1265,tr77,わざレコード７７,all-machines,
1266,tr78,わざレコード７８,all-machines,
1267,tr79,わざレコード７９,all-machines,
1268,tr80,わざレコード８０,all-machines,
1269,tr81,わざレコード８１,all-machines,
1270,tr82,わざレコード８２,all-machines,
1271,tr83,わざレコード８３,all-machines,
1272,tr84,わざレコード８４,all-machines,
1273,tr85,わざレコード８５,all-machines,
1274,tr86,わざレコード８６,all-machines,
1275,tr87,わざレコード８７,all-machines,
1276,tr88,わざレコード８８,all-machines,
1277,tr89,わざレコード８９,all-machines,
